name,description,image,perfumeHouse,notes,product_url
The School of Silence,Jean Delville,https://blackphoenixalchemylab.com/wp-content/uploads/2023/04/school-of-silence-march-2023-art-WEB-600x706.jpg,Black Phoenix Alchemy Lab,"[""Rose Petals - Pink"", ""April 2023"", ""April 2023 Lunacy"", ""Lavender Milk"", ""Blackcurrant Bud"", ""Champaca Orchid"", ""Cypress""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/oml-its-finally-march/the-school-of-silence-perfume-oil/
Fuchsia Eyes,"The color and scent were indistinguishable, and inescapable.Blood-tinged raspberries oozing into globs of blackcurrant and red plum.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/FUCHSIA-EYES-Nightmare-Novellas-WEB-1-600x750.jpg,Black Phoenix Alchemy Lab,"[""Red Plum"", ""Plum - Red"", ""Raspberries"", ""Blackcurrant""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/nightmare-novellas-pt-ii/fuschia-eyes-perfume-oil/
Vintage Pumpkin Blow Mold,"A grinning, glowing gourd gleaming with 40 watts of radiant white musk, sweet orange, crystalline amber, and pumpkin rind.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/Vintage-Pumpkin-Blow-Mold-Halloween-2024-Main-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""Orange"", ""Musk - White"", ""Musk"", ""Radiant White Musk"", ""Amber"", ""Pumpkin Rind"", ""Amber - Crystalline"", ""Orange - Sweet"", ""White Musk""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/vintage-pumpkin-blow-mold-perfume-oil/
Hunter’s Moon: Black Musk and Black Honey,$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/10/black-musk-and-black-honey-lunacy-duets-2024-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""Musk - Black"", ""A Little Lunacy"", ""Honey - Black""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/lunacy/hunters-moon-black-musk-and-black-honey-perfume-oil/
My Wild Heart Bleeds With Yours,"She used to place her pretty arms about my neck, draw me to her, and laying her cheek to mine, murmur with her lips near my ear, “Dearest, your little heart is wounded; think me not cruel because I obey the irresistible law of my strength and weakness; if your dear heart is wounded, my wild heart bleeds with yours…”A fierce rush of pink pepper, carnation, pulsating red berries, and crimson musk.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/MY-WILD-HEART-BLEEDS-WITH-YOURS-carmilla-WEB-2024-600x473.jpg,Black Phoenix Alchemy Lab,"[""Berries - Red"", ""Musk"", ""Red Berries"", ""Pink Pepper"", ""Musk - Crimson"", ""Carnation"", ""Carmilla"", ""Pepper - Pink"", ""And Crimson Musk""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/carmilla/my-wild-heart-bleeds-with-yours-perfume-oil/
Robin Goodfellow,"Now the hungry lion roars,And the wolf behowls the moon;Whilst the heavy ploughman snores,All with weary task fordone.Now the wasted brands do glow,Whilst the screech-owl, screeching loud,Puts the wretch that lies in woeIn remembrance of a shroud.Now it is the time of nightThat the graves all gaping wide,Every one lets forth his sprite,In the church-way paths to glide:And we fairies, that do runBy the triple Hecate’s team,From the presence of the sun,Following darkness like a dream,Now are frolic: not a mouseShall disturb this hallow’d house:I am sent with broom before,To sweep the dust behind the door.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/Robin-Goodfellow-600x467.jpg,Black Phoenix Alchemy Lab,"[""Musk - Dark"", ""Sage"", ""Heather"", ""Moss"", ""Shakespeare"", ""Ragwort"", ""Wood""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/illyria/robin-goodfellow/
Forge of Vulcan,Luca Giordano,https://blackphoenixalchemylab.com/wp-content/uploads/2022/08/the-forge-of-vulcan-AUGUST-ART-WEB-600x774.jpg,Black Phoenix Alchemy Lab,"[""Musk - Blood"", ""August 2022"", ""Soot"", ""Smoke"", ""Amber - Red"", ""Metal"", ""A Little Lunacy"", ""Tobacco Absolute""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/illustrations-of-a-scorching-august/forge-of-vulcan-perfume-oil/
A Robe All Red With Dripping Gore,"Blood musk, red amber, honey, and threads of scarlet saffron.",https://blackphoenixalchemylab.com/wp-content/uploads/2022/06/A-ROBE-ALL-RED-WITH-DRIPPING-GORE-furies-2022-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""Saffron - Scarlet"", ""Musk"", ""Musk - Blood"", ""Honey"", ""Amber"", ""Red Amber"", ""Amber - Red"", ""Sorores Genita Nocte"", ""Aigles Kharities"", ""Roe Vs. Wade""]",https://blackphoenixalchemylab.com/shop/activism/sorores-genita-nocte-aigles-kharities/a-robe-all-red-with-dripping-gore-perfume-oil/
El Dia de Los Reyes Atmosphere Spray,"The Day of Kings, the Celebration of the Magi. In Mexico, on January 6th, children place their shoes by their windows. If they have been good during the previous year, the Wise Men tuck gifts into their shoes during the night.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/el-dia-de-los-reyes-2024-yule-ATMO-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""Cocoa - Hot"", ""Atmosphere Spray"", ""Cinnamon"", ""Coffee"", ""Sugar - Brown""]",https://blackphoenixalchemylab.com/shop/yule-2024/yule-atmosphere-sprays-2024/el-dia-de-los-reyes-atmosphere-spray/
Penny Dreadful,"Also called Gallows Literature. A dime novel rife with melodrama, horror, madness and cruelty; a ten cent analogy of vice and virtue in conflict. Soft perfume evocative of noir heroines over rich red grave loam.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/10/Penny-Dreadful-600x467.jpg,Black Phoenix Alchemy Lab,"[""Red Grave"", ""Madness"", ""Vice"", ""Cruel"", ""Virtue""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/bewitching-brews/penny-dreadful/
